"","M","S","V0","k","P0","Ta","T0","objFun"
"1",30,0.005,0.002,1000,90000,290,340,0.467002839160575
"2",34.3133116131253,0.0156294241709611,0.0024014601886645,1667.43271297961,103965.899536465,290.478892825251,355.858252276937,0.231192298227417
"3",38.4328036132548,0.0165227463286917,0.00711465230598859,4953.01581269223,108026.129872468,293.822659955198,355.403693383792,0.368435934756484
"4",56.4291837324598,0.00744131304532988,0.00938989168931358,3212.39996986277,92680.0215015607,295.543020053639,348.641201991965,0.742784280427352
"5",57.4789012917085,0.0168688924087235,0.0068534370294176,3469.73847622517,93067.82716949,291.778922356735,355.375034471038,0.431315459730779
"6",40.2349853100185,0.00790439024277381,0.004358795473326,3951.67459577043,106882.880193172,291.129069107152,354.236345929932,0.494407732373622
"7",43.9624079449824,0.0110579640574078,0.00443748965646513,3887.35873489734,99118.4671441047,293.712041196281,351.296008224892,0.431886833337733
"8",49.0468962990982,0.00962254263515933,0.0084491887795534,2158.34531308711,93478.8943916047,294.824162172255,350.592403481021,0.6743941621014
"9",59.9023098028614,0.00616676167892292,0.0089182713730298,4681.82737057563,90716.8314969167,291.892879211113,352.007790764715,0.677558998270234
"10",37.0033113315585,0.0108810133890249,0.00633805492598005,4821.0130746495,104239.852733575,292.261702854219,359.370313532134,0.440802449366771
"11",49.9122613937315,0.0153227059211745,0.00924654516218789,2934.20567377657,90079.6758814063,291.380716966343,353.00268349831,0.517315154915276
"12",37.7443659582222,0.0163695654335595,0.00948985256391578,4564.15478335135,106914.668062548,294.120911802595,344.602628636165,0.411834377007116
"13",44.3865988811594,0.0119737575858855,0.00898610479104146,1941.20530250482,100086.794462451,294.38322982291,354.723951265439,0.583155165591186
"14",47.3786395365908,0.0180741411086533,0.00994842705627903,2877.31277764775,105348.196507213,292.484562251491,350.811947060931,0.453703854658675
"15",47.7195279870741,0.0109388756410801,0.0077280505395513,2049.20429048128,105636.873326288,295.999919240324,341.955396602354,0.583806346859421
"16",44.0986808623374,0.0146332582726644,0.00531709392679855,4417.52389787231,97239.2031381605,294.126527739068,343.947454979713,0.387653939553765
"17",53.1246200757008,0.0173712977028918,0.00250958499494567,1706.78445400018,99880.944856694,291.440235831811,347.07916794125,0.243181886774245
"18",58.449976393471,0.0115179964638583,0.00955561065871641,4744.05960323382,91141.6066618683,292.84500362218,355.880981036467,0.589016997643128
"19",57.3984944202891,0.00611066742547904,0.00454023241657764,2964.35941131879,96943.9288579999,293.36269367703,345.456547628371,0.683987996955064
